PulserCal_5.09MeV
10/GEN/20 11:46
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 2 	 0 	 3701 	 0 
1 	 2 	 0 	 3698 	 0 
2 	 23 	 0 	 3706 	 0 
3 	 23 	 0 	 3697 	 0 
4 	 23 	 0 	 3711 	 0 
5 	 23 	 0 	 3695 	 0 
6 	 23 	 0 	 3722 	 0 
7 	 23 	 0 	 3704 	 0 
8 	 23 	 0 	 3715 	 0 
9 	 23 	 0 	 3709 	 0 
10 	 23 	 0 	 3695 	 0 
11 	 23 	 0 	 3707 	 0 
12 	 27 	 0 	 3703 	 0 
13 	 27 	 0 	 3698 	 0 
14 	 32 	 0 	 3693 	 0 
15 	 32 	 0 	 3717 	 0 
16 	 36 	 0 	 3715 	 0 
17 	 36 	 0 	 3704 	 0 
18 	 39 	 0 	 3702 	 0 
19 	 39 	 0 	 3708 	 0 
20 	 43 	 0 	 3710 	 0 
21 	 43 	 0 	 3712 	 0 
22 	 48 	 0 	 3710 	 0 
23 	 48 	 0 	 3702 	 0 
24 	 52 	 0 	 3717 	 0 
25 	 52 	 0 	 3711 	 0 
26 	 56 	 0 	 3688 	 0 
27 	 56 	 0 	 3702 	 0 
28 	 61 	 0 	 3703 	 0 
29 	 61 	 0 	 3689 	 0 
30 	 61 	 0 	 3709 	 0 
31 	 65 	 0 	 3698 	 0 
32 	 65 	 0 	 3702 	 0 
33 	 72 	 0 	 3714 	 0 
34 	 72 	 0 	 3714 	 0 
35 	 72 	 0 	 3705 	 0 
36 	 76 	 0 	 3713 	 0 
37 	 76 	 0 	 3721 	 0 
38 	 82 	 0 	 3711 	 0 
39 	 82 	 0 	 3708 	 0 
40 	 82 	 0 	 3698 	 0 
41 	 86 	 0 	 3702 	 0 
42 	 86 	 0 	 3701 	 0 
43 	 91 	 0 	 3709 	 0 
44 	 91 	 0 	 3708 	 0 
45 	 95 	 0 	 3713 	 0 
46 	 95 	 0 	 3706 	 0 
47 	 99 	 0 	 3706 	 0 
48 	 99 	 0 	 3700 	 0 
49 	 104 	 0 	 3701 	 0 
50 	 104 	 0 	 3699 	 0 
51 	 106 	 0 	 3699 	 0 
52 	 106 	 0 	 3722 	 0 
53 	 111 	 0 	 3715 	 0 
54 	 111 	 0 	 3711 	 0 
55 	 115 	 0 	 3713 	 0 
56 	 115 	 0 	 3713 	 0 
57 	 119 	 0 	 3722 	 0 
58 	 119 	 0 	 3706 	 0 
59 	 123 	 0 	 3702 	 0 
60 	 123 	 0 	 3700 	 0 
61 	 128 	 0 	 3715 	 0 
62 	 128 	 0 	 3705 	 0 
63 	 132 	 0 	 3706 	 0 
64 	 132 	 0 	 3701 	 0 
65 	 136 	 0 	 3709 	 0 
66 	 136 	 0 	 3712 	 0 
67 	 140 	 0 	 3716 	 0 
68 	 140 	 0 	 3711 	 0 
69 	 143 	 0 	 3704 	 0 
70 	 143 	 0 	 3712 	 0 
71 	 147 	 0 	 3716 	 0 
72 	 147 	 0 	 3709 	 0 
73 	 152 	 0 	 3720 	 0 
74 	 152 	 0 	 3705 	 0 
75 	 156 	 0 	 3696 	 0 
76 	 156 	 0 	 3707 	 0 
77 	 160 	 0 	 3700 	 0 
78 	 160 	 0 	 3699 	 0 
79 	 164 	 0 	 3720 	 0 
80 	 164 	 0 	 3708 	 0 
81 	 169 	 0 	 3709 	 0 
82 	 169 	 0 	 3699 	 0 
83 	 173 	 0 	 3712 	 0 
84 	 173 	 0 	 3707 	 0 
85 	 177 	 0 	 3695 	 0 
86 	 177 	 0 	 3709 	 0 
87 	 181 	 0 	 3716 	 0 
88 	 181 	 0 	 3701 	 0 
89 	 186 	 0 	 3712 	 0 
90 	 186 	 0 	 3699 	 0 
91 	 188 	 0 	 3703 	 0 
92 	 188 	 0 	 3709 	 0 
93 	 193 	 0 	 3709 	 0 
94 	 193 	 0 	 3703 	 0 
95 	 197 	 0 	 3706 	 0 
96 	 197 	 0 	 3706 	 0 
97 	 201 	 0 	 3688 	 0 
98 	 201 	 0 	 3706 	 0 
99 	 205 	 0 	 3706 	 0 
100 	 205 	 0 	 3689 	 0 
101 	 210 	 0 	 3709 	 0 
102 	 210 	 0 	 3706 	 0 
103 	 214 	 0 	 3716 	 0 
104 	 214 	 0 	 3721 	 0 
105 	 218 	 0 	 3706 	 0 
106 	 218 	 0 	 3707 	 0 
107 	 222 	 0 	 3706 	 0 
108 	 222 	 0 	 3709 	 0 
109 	 227 	 0 	 3703 	 0 
110 	 227 	 0 	 3707 	 0 
111 	 229 	 0 	 3713 	 0 
112 	 229 	 0 	 3714 	 0 
113 	 234 	 0 	 3699 	 0 
114 	 234 	 0 	 3710 	 0 
115 	 238 	 0 	 3697 	 0 
116 	 238 	 0 	 3697 	 0 
117 	 242 	 0 	 3709 	 0 
118 	 242 	 0 	 3712 	 0 
119 	 246 	 0 	 3699 	 0 
120 	 246 	 0 	 3704 	 0 
121 	 251 	 0 	 3715 	 0 
122 	 251 	 0 	 3719 	 0 
123 	 255 	 0 	 3705 	 0 
124 	 255 	 0 	 3698 	 0 
125 	 259 	 0 	 3706 	 0 
126 	 259 	 0 	 3717 	 0 
127 	 263 	 0 	 3710 	 0 
128 	 263 	 0 	 3713 	 0 
129 	 268 	 0 	 3703 	 0 
130 	 268 	 0 	 3712 	 0 
131 	 270 	 0 	 3693 	 0 
132 	 270 	 0 	 3700 	 0 
133 	 274 	 0 	 3700 	 0 
134 	 274 	 0 	 3698 	 0 
