PulserCal_6.09MeV
10/GEN/20 11:51
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 2 	 0 	 4468 	 0 
1 	 2 	 0 	 4472 	 0 
2 	 20 	 0 	 4467 	 0 
3 	 20 	 0 	 4460 	 0 
4 	 20 	 0 	 4468 	 0 
5 	 20 	 0 	 4469 	 0 
6 	 20 	 0 	 4468 	 0 
7 	 20 	 0 	 4471 	 0 
8 	 20 	 0 	 4470 	 0 
9 	 20 	 0 	 4479 	 0 
10 	 20 	 0 	 4478 	 0 
11 	 25 	 0 	 4481 	 0 
12 	 25 	 0 	 4477 	 0 
13 	 29 	 0 	 4470 	 0 
14 	 29 	 0 	 4468 	 0 
15 	 33 	 0 	 4474 	 0 
16 	 33 	 0 	 4466 	 0 
17 	 37 	 0 	 4467 	 0 
18 	 37 	 0 	 4474 	 0 
19 	 42 	 0 	 4462 	 0 
20 	 42 	 0 	 4481 	 0 
21 	 46 	 0 	 4481 	 0 
22 	 46 	 0 	 4476 	 0 
23 	 50 	 0 	 4472 	 0 
24 	 50 	 0 	 4477 	 0 
25 	 54 	 0 	 4473 	 0 
26 	 54 	 0 	 4477 	 0 
27 	 59 	 0 	 4470 	 0 
28 	 59 	 0 	 4462 	 0 
29 	 61 	 0 	 4482 	 0 
30 	 61 	 0 	 4483 	 0 
31 	 66 	 0 	 4469 	 0 
32 	 66 	 0 	 4484 	 0 
33 	 70 	 0 	 4453 	 0 
34 	 70 	 0 	 4477 	 0 
35 	 74 	 0 	 4466 	 0 
36 	 74 	 0 	 4463 	 0 
37 	 79 	 0 	 4485 	 0 
38 	 79 	 0 	 4483 	 0 
39 	 82 	 0 	 4484 	 0 
40 	 82 	 0 	 4478 	 0 
41 	 86 	 0 	 4468 	 0 
42 	 86 	 0 	 4468 	 0 
43 	 90 	 0 	 4478 	 0 
44 	 90 	 0 	 4478 	 0 
45 	 95 	 0 	 4484 	 0 
46 	 95 	 0 	 4470 	 0 
47 	 99 	 0 	 4460 	 0 
48 	 99 	 0 	 4474 	 0 
49 	 104 	 0 	 4465 	 0 
50 	 104 	 0 	 4457 	 0 
51 	 104 	 0 	 4457 	 0 
52 	 110 	 0 	 4472 	 0 
53 	 110 	 0 	 4474 	 0 
54 	 114 	 0 	 4454 	 0 
55 	 114 	 0 	 4477 	 0 
56 	 117 	 0 	 4464 	 0 
57 	 117 	 0 	 4474 	 0 
58 	 121 	 0 	 4460 	 0 
59 	 121 	 0 	 4463 	 0 
60 	 125 	 0 	 4473 	 0 
61 	 125 	 0 	 4479 	 0 
62 	 129 	 0 	 4475 	 0 
63 	 129 	 0 	 4454 	 0 
64 	 134 	 0 	 4465 	 0 
65 	 134 	 0 	 4461 	 0 
66 	 138 	 0 	 4475 	 0 
67 	 138 	 0 	 4470 	 0 
68 	 142 	 0 	 4471 	 0 
69 	 142 	 0 	 4477 	 0 
70 	 146 	 0 	 4478 	 0 
71 	 146 	 0 	 4462 	 0 
72 	 151 	 0 	 4473 	 0 
73 	 151 	 0 	 4474 	 0 
74 	 153 	 0 	 4488 	 0 
75 	 153 	 0 	 4470 	 0 
76 	 158 	 0 	 4469 	 0 
77 	 158 	 0 	 4475 	 0 
78 	 162 	 0 	 4479 	 0 
79 	 162 	 0 	 4472 	 0 
80 	 166 	 0 	 4477 	 0 
81 	 166 	 0 	 4465 	 0 
82 	 170 	 0 	 4471 	 0 
83 	 170 	 0 	 4477 	 0 
84 	 175 	 0 	 4479 	 0 
85 	 175 	 0 	 4464 	 0 
86 	 179 	 0 	 4483 	 0 
87 	 179 	 0 	 4474 	 0 
88 	 183 	 0 	 4454 	 0 
89 	 183 	 0 	 4479 	 0 
90 	 187 	 0 	 4479 	 0 
91 	 187 	 0 	 4477 	 0 
92 	 192 	 0 	 4474 	 0 
93 	 192 	 0 	 4472 	 0 
94 	 196 	 0 	 4479 	 0 
95 	 196 	 0 	 4460 	 0 
96 	 199 	 0 	 4469 	 0 
97 	 199 	 0 	 4464 	 0 
98 	 203 	 0 	 4475 	 0 
99 	 203 	 0 	 4464 	 0 
100 	 208 	 0 	 4467 	 0 
101 	 208 	 0 	 4473 	 0 
102 	 212 	 0 	 4485 	 0 
103 	 212 	 0 	 4467 	 0 
104 	 215 	 0 	 4479 	 0 
105 	 215 	 0 	 4462 	 0 
106 	 219 	 0 	 4463 	 0 
107 	 219 	 0 	 4466 	 0 
108 	 224 	 0 	 4480 	 0 
109 	 224 	 0 	 4473 	 0 
110 	 228 	 0 	 4469 	 0 
111 	 228 	 0 	 4470 	 0 
112 	 232 	 0 	 4457 	 0 
113 	 232 	 0 	 4473 	 0 
114 	 237 	 0 	 4462 	 0 
115 	 237 	 0 	 4464 	 0 
116 	 241 	 0 	 4461 	 0 
117 	 241 	 0 	 4483 	 0 
118 	 244 	 0 	 4462 	 0 
119 	 244 	 0 	 4467 	 0 
120 	 248 	 0 	 4470 	 0 
121 	 248 	 0 	 4463 	 0 
122 	 252 	 0 	 4472 	 0 
123 	 252 	 0 	 4464 	 0 
124 	 256 	 0 	 4460 	 0 
125 	 256 	 0 	 4469 	 0 
126 	 261 	 0 	 4460 	 0 
127 	 261 	 0 	 4472 	 0 
128 	 265 	 0 	 4470 	 0 
129 	 265 	 0 	 4479 	 0 
130 	 269 	 0 	 4481 	 0 
131 	 269 	 0 	 4464 	 0 
132 	 273 	 0 	 4477 	 0 
133 	 273 	 0 	 4473 	 0 
134 	 278 	 0 	 4465 	 0 
135 	 278 	 0 	 4483 	 0 
136 	 282 	 0 	 4462 	 0 
137 	 282 	 0 	 4466 	 0 
138 	 285 	 0 	 4466 	 0 
139 	 285 	 0 	 4471 	 0 
140 	 289 	 0 	 4474 	 0 
141 	 289 	 0 	 4469 	 0 
142 	 293 	 0 	 4479 	 0 
143 	 293 	 0 	 4456 	 0 
144 	 297 	 0 	 4472 	 0 
145 	 297 	 0 	 4477 	 0 
146 	 302 	 0 	 4483 	 0 
147 	 302 	 0 	 4471 	 0 
148 	 306 	 0 	 4472 	 0 
149 	 306 	 0 	 4488 	 0 
150 	 310 	 0 	 4470 	 0 
151 	 310 	 0 	 4480 	 0 
152 	 314 	 0 	 4483 	 0 
153 	 314 	 0 	 4461 	 0 
154 	 319 	 0 	 4454 	 0 
155 	 319 	 0 	 4457 	 0 
156 	 323 	 0 	 4485 	 0 
157 	 323 	 0 	 4475 	 0 
158 	 326 	 0 	 4475 	 0 
159 	 326 	 0 	 4467 	 0 
160 	 330 	 0 	 4478 	 0 
161 	 330 	 0 	 4463 	 0 
162 	 334 	 0 	 4466 	 0 
163 	 334 	 0 	 4468 	 0 
164 	 338 	 0 	 4459 	 0 
165 	 338 	 0 	 4469 	 0 
166 	 343 	 0 	 4473 	 0 
167 	 343 	 0 	 4468 	 0 
168 	 347 	 0 	 4471 	 0 
169 	 347 	 0 	 4469 	 0 
170 	 351 	 0 	 4459 	 0 
171 	 351 	 0 	 4467 	 0 
172 	 355 	 0 	 4480 	 0 
173 	 355 	 0 	 4464 	 0 
174 	 359 	 0 	 4468 	 0 
175 	 359 	 0 	 4476 	 0 
176 	 364 	 0 	 4477 	 0 
177 	 364 	 0 	 4466 	 0 
178 	 368 	 0 	 4464 	 0 
179 	 368 	 0 	 4470 	 0 
180 	 371 	 0 	 4477 	 0 
181 	 371 	 0 	 4467 	 0 
182 	 375 	 0 	 4462 	 0 
183 	 375 	 0 	 4473 	 0 
184 	 379 	 0 	 4473 	 0 
185 	 379 	 0 	 4472 	 0 
186 	 383 	 0 	 4476 	 0 
187 	 383 	 0 	 4470 	 0 
188 	 388 	 0 	 4478 	 0 
189 	 388 	 0 	 4457 	 0 
190 	 392 	 0 	 4464 	 0 
191 	 392 	 0 	 4470 	 0 
192 	 396 	 0 	 4459 	 0 
193 	 396 	 0 	 4463 	 0 
194 	 400 	 0 	 4479 	 0 
195 	 400 	 0 	 4462 	 0 
196 	 405 	 0 	 4473 	 0 
197 	 405 	 0 	 4475 	 0 
198 	 409 	 0 	 4476 	 0 
199 	 409 	 0 	 4473 	 0 
200 	 412 	 0 	 4460 	 0 
201 	 412 	 0 	 4461 	 0 
202 	 416 	 0 	 4467 	 0 
203 	 416 	 0 	 4484 	 0 
204 	 420 	 0 	 4482 	 0 
205 	 420 	 0 	 4467 	 0 
