PulserCal_9.09MeV
10/01/20 11:57
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 20 	 0 	 6730 	 0 
1 	 20 	 0 	 6724 	 0 
2 	 20 	 0 	 6731 	 0 
3 	 20 	 0 	 6735 	 0 
4 	 20 	 0 	 6732 	 0 
5 	 20 	 0 	 6736 	 0 
6 	 20 	 0 	 6733 	 0 
7 	 20 	 0 	 6727 	 0 
8 	 20 	 0 	 6749 	 0 
9 	 20 	 0 	 6731 	 0 
10 	 24 	 0 	 6742 	 0 
11 	 24 	 0 	 6727 	 0 
12 	 28 	 0 	 6735 	 0 
13 	 28 	 0 	 6734 	 0 
14 	 32 	 0 	 6754 	 0 
15 	 32 	 0 	 6726 	 0 
16 	 37 	 0 	 6733 	 0 
17 	 37 	 0 	 6737 	 0 
18 	 41 	 0 	 6730 	 0 
19 	 41 	 0 	 6736 	 0 
20 	 45 	 0 	 6733 	 0 
21 	 45 	 0 	 6731 	 0 
22 	 49 	 0 	 6734 	 0 
23 	 49 	 0 	 6748 	 0 
24 	 54 	 0 	 6736 	 0 
25 	 54 	 0 	 6746 	 0 
26 	 56 	 0 	 6743 	 0 
27 	 56 	 0 	 6735 	 0 
28 	 61 	 0 	 6736 	 0 
29 	 61 	 0 	 6740 	 0 
30 	 65 	 0 	 6738 	 0 
31 	 65 	 0 	 6737 	 0 
32 	 70 	 0 	 6746 	 0 
33 	 70 	 0 	 6742 	 0 
34 	 74 	 0 	 6732 	 0 
35 	 74 	 0 	 6733 	 0 
36 	 78 	 0 	 6731 	 0 
37 	 78 	 0 	 6734 	 0 
38 	 82 	 0 	 6736 	 0 
39 	 82 	 0 	 6733 	 0 
40 	 85 	 0 	 6724 	 0 
41 	 85 	 0 	 6734 	 0 
42 	 89 	 0 	 6737 	 0 
43 	 89 	 0 	 6742 	 0 
44 	 94 	 0 	 6734 	 0 
45 	 94 	 0 	 6740 	 0 
46 	 98 	 0 	 6740 	 0 
47 	 98 	 0 	 6732 	 0 
48 	 102 	 0 	 6734 	 0 
49 	 102 	 0 	 6731 	 0 
50 	 107 	 0 	 6746 	 0 
51 	 107 	 0 	 6738 	 0 
52 	 111 	 0 	 6745 	 0 
53 	 111 	 0 	 6724 	 0 
54 	 115 	 0 	 6739 	 0 
55 	 115 	 0 	 6737 	 0 
56 	 119 	 0 	 6723 	 0 
57 	 119 	 0 	 6733 	 0 
58 	 122 	 0 	 6733 	 0 
59 	 122 	 0 	 6735 	 0 
60 	 126 	 0 	 6733 	 0 
61 	 126 	 0 	 6726 	 0 
62 	 131 	 0 	 6730 	 0 
63 	 131 	 0 	 6731 	 0 
64 	 135 	 0 	 6741 	 0 
65 	 135 	 0 	 6752 	 0 
66 	 139 	 0 	 6725 	 0 
67 	 139 	 0 	 6724 	 0 
68 	 143 	 0 	 6729 	 0 
69 	 143 	 0 	 6719 	 0 
70 	 148 	 0 	 6735 	 0 
71 	 148 	 0 	 6727 	 0 
72 	 152 	 0 	 6734 	 0 
73 	 152 	 0 	 6741 	 0 
74 	 155 	 0 	 6737 	 0 
75 	 155 	 0 	 6747 	 0 
76 	 159 	 0 	 6729 	 0 
77 	 159 	 0 	 6734 	 0 
78 	 163 	 0 	 6739 	 0 
79 	 163 	 0 	 6730 	 0 
80 	 168 	 0 	 6743 	 0 
81 	 168 	 0 	 6722 	 0 
82 	 172 	 0 	 6743 	 0 
83 	 172 	 0 	 6735 	 0 
84 	 176 	 0 	 6735 	 0 
85 	 176 	 0 	 6741 	 0 
86 	 180 	 0 	 6732 	 0 
87 	 180 	 0 	 6723 	 0 
88 	 184 	 0 	 6746 	 0 
89 	 184 	 0 	 6718 	 0 
90 	 189 	 0 	 6731 	 0 
91 	 189 	 0 	 6725 	 0 
92 	 193 	 0 	 6732 	 0 
93 	 193 	 0 	 6732 	 0 
94 	 197 	 0 	 6732 	 0 
95 	 197 	 0 	 6742 	 0 
96 	 200 	 0 	 6722 	 0 
97 	 200 	 0 	 6728 	 0 
98 	 204 	 0 	 6732 	 0 
99 	 204 	 0 	 6733 	 0 
100 	 209 	 0 	 6744 	 0 
101 	 209 	 0 	 6736 	 0 
102 	 213 	 0 	 6743 	 0 
103 	 213 	 0 	 6725 	 0 
104 	 217 	 0 	 6729 	 0 
105 	 217 	 0 	 6719 	 0 
106 	 221 	 0 	 6735 	 0 
107 	 221 	 0 	 6730 	 0 
108 	 226 	 0 	 6747 	 0 
109 	 226 	 0 	 6738 	 0 
110 	 230 	 0 	 6732 	 0 
111 	 230 	 0 	 6723 	 0 
112 	 233 	 0 	 6741 	 0 
113 	 233 	 0 	 6725 	 0 
114 	 237 	 0 	 6733 	 0 
115 	 237 	 0 	 6729 	 0 
116 	 241 	 0 	 6724 	 0 
117 	 241 	 0 	 6730 	 0 
118 	 245 	 0 	 6729 	 0 
119 	 245 	 0 	 6721 	 0 
120 	 250 	 0 	 6734 	 0 
121 	 250 	 0 	 6724 	 0 
122 	 254 	 0 	 6720 	 0 
123 	 254 	 0 	 6738 	 0 
124 	 258 	 0 	 6735 	 0 
125 	 258 	 0 	 6742 	 0 
126 	 262 	 0 	 6733 	 0 
127 	 262 	 0 	 6738 	 0 
128 	 267 	 0 	 6717 	 0 
129 	 267 	 0 	 6741 	 0 
130 	 271 	 0 	 6747 	 0 
131 	 271 	 0 	 6754 	 0 
132 	 274 	 0 	 6742 	 0 
133 	 274 	 0 	 6731 	 0 
134 	 278 	 0 	 6723 	 0 
135 	 278 	 0 	 6728 	 0 
136 	 282 	 0 	 6720 	 0 
137 	 282 	 0 	 6746 	 0 
138 	 286 	 0 	 6752 	 0 
139 	 286 	 0 	 6741 	 0 
140 	 291 	 0 	 6726 	 0 
141 	 291 	 0 	 6723 	 0 
142 	 295 	 0 	 6714 	 0 
143 	 295 	 0 	 6716 	 0 
144 	 299 	 0 	 6733 	 0 
145 	 299 	 0 	 6727 	 0 
146 	 303 	 0 	 6731 	 0 
147 	 303 	 0 	 6743 	 0 
148 	 308 	 0 	 6740 	 0 
149 	 308 	 0 	 6719 	 0 
150 	 312 	 0 	 6734 	 0 
151 	 312 	 0 	 6742 	 0 
152 	 316 	 0 	 6728 	 0 
153 	 316 	 0 	 6726 	 0 
154 	 319 	 0 	 6737 	 0 
155 	 319 	 0 	 6730 	 0 
156 	 323 	 0 	 6723 	 0 
157 	 323 	 0 	 6729 	 0 
158 	 327 	 0 	 6733 	 0 
159 	 327 	 0 	 6733 	 0 
160 	 332 	 0 	 6729 	 0 
161 	 332 	 0 	 6727 	 0 
162 	 336 	 0 	 6730 	 0 
163 	 336 	 0 	 6746 	 0 
164 	 340 	 0 	 6731 	 0 
165 	 340 	 0 	 6723 	 0 
166 	 344 	 0 	 6745 	 0 
167 	 344 	 0 	 6743 	 0 
168 	 349 	 0 	 6743 	 0 
169 	 349 	 0 	 6747 	 0 
170 	 353 	 0 	 6745 	 0 
171 	 353 	 0 	 6738 	 0 
172 	 357 	 0 	 6744 	 0 
173 	 357 	 0 	 6745 	 0 
174 	 360 	 0 	 6730 	 0 
175 	 360 	 0 	 6722 	 0 
176 	 364 	 0 	 6735 	 0 
177 	 364 	 0 	 6738 	 0 
178 	 368 	 0 	 6745 	 0 
179 	 368 	 0 	 6731 	 0 
180 	 372 	 0 	 6742 	 0 
181 	 372 	 0 	 6722 	 0 
182 	 377 	 0 	 6736 	 0 
183 	 377 	 0 	 6740 	 0 
184 	 381 	 0 	 6726 	 0 
185 	 381 	 0 	 6730 	 0 
186 	 385 	 0 	 6729 	 0 
187 	 385 	 0 	 6730 	 0 
188 	 389 	 0 	 6726 	 0 
189 	 389 	 0 	 6720 	 0 
190 	 394 	 0 	 6727 	 0 
191 	 394 	 0 	 6732 	 0 
192 	 398 	 0 	 6730 	 0 
193 	 398 	 0 	 6729 	 0 
194 	 401 	 0 	 6725 	 0 
195 	 401 	 0 	 6731 	 0 
196 	 405 	 0 	 6730 	 0 
197 	 405 	 0 	 6741 	 0 
198 	 413 	 0 	 6732 	 0 
199 	 413 	 0 	 6727 	 0 
200 	 413 	 0 	 6727 	 0 
201 	 413 	 0 	 6725 	 0 
202 	 417 	 0 	 6735 	 0 
203 	 417 	 0 	 6753 	 0 
204 	 422 	 0 	 6738 	 0 
205 	 422 	 0 	 6740 	 0 
206 	 426 	 0 	 6735 	 0 
207 	 426 	 0 	 6735 	 0 
208 	 430 	 0 	 6715 	 0 
209 	 430 	 0 	 6727 	 0 
210 	 430 	 0 	 6741 	 0 
211 	 436 	 0 	 6743 	 0 
212 	 436 	 0 	 6738 	 0 
213 	 440 	 0 	 6726 	 0 
214 	 440 	 0 	 6739 	 0 
215 	 448 	 0 	 6724 	 0 
216 	 448 	 0 	 6746 	 0 
217 	 448 	 0 	 6733 	 0 
218 	 448 	 0 	 6741 	 0 
219 	 452 	 0 	 6728 	 0 
220 	 452 	 0 	 6733 	 0 
221 	 457 	 0 	 6718 	 0 
222 	 457 	 0 	 6734 	 0 
223 	 457 	 0 	 6734 	 0 
224 	 464 	 0 	 6744 	 0 
225 	 464 	 0 	 6736 	 0 
226 	 464 	 0 	 6738 	 0 
227 	 470 	 0 	 6740 	 0 
228 	 470 	 0 	 6731 	 0 
229 	 470 	 0 	 6737 	 0 
230 	 474 	 0 	 6742 	 0 
231 	 474 	 0 	 6745 	 0 
232 	 480 	 0 	 6732 	 0 
233 	 480 	 0 	 6736 	 0 
234 	 485 	 0 	 6747 	 0 
235 	 485 	 0 	 6735 	 0 
236 	 485 	 0 	 6733 	 0 
237 	 489 	 0 	 6742 	 0 
238 	 489 	 0 	 6733 	 0 
239 	 493 	 0 	 6730 	 0 
240 	 493 	 0 	 6743 	 0 
241 	 498 	 0 	 6726 	 0 
242 	 498 	 0 	 6746 	 0 
243 	 502 	 0 	 6734 	 0 
244 	 502 	 0 	 6728 	 0 
245 	 506 	 0 	 6731 	 0 
